externalId,name,departmentId,lat,lon,address,district,cameraType,mount,geometryClass,declaredCodec,declaredFps,declaredResolution,vendor,vmsPlatform,retentionDays,storageType,adapterKind
GJ-AHM-0001,Chiman bhai Bridge,,23.026336,72.514452,"Chiman bhai Bridge, Ahmedabad, Gujarat",Ahmedabad,analog,static,anpr_viable,h264,30,640x480,Axis,CP Plus Orange,7,cloud,hls
GJ-AHM-0002,Janpath Crossing,,23.023667,72.569358,"Janpath Crossing, Ahmedabad, Gujarat",Ahmedabad,ip,static,detection_only,h264,20,1280x960,Dahua,CP Plus Orange,90,local,hls
GJ-AHM-0003,ONGC Office Circle,,23.046995,72.529055,"ONGC Office Circle, Ahmedabad, Gujarat",Ahmedabad,analog,static,unclassified,h264,18,1280x960,Honeywell,Hikvision iVMS-4200,15,local,hls
GJ-AHM-0004,Paldi Circle,,23.008368,72.556489,"Paldi Circle, Ahmedabad, Gujarat",Ahmedabad,analog,static,anpr_viable,h264,25,640x480,Axis,CP Plus Orange,15,local,hls
GJ-AHM-0005,Visat Teen Rasta,,23.085620,72.581095,"Visat Teen Rasta, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,detection_only,h264,30,1280x960,Axis,Milestone XProtect,90,local,hls
GJ-AHM-0006,CN Vidhyalaya P2 RLVD,,23.039577,72.547820,"CN Vidhyalaya P2 RLVD, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,unclassified,h265,20,1280x720,Bosch,Hikvision iVMS-4200,30,cloud,onvif
GJ-AHM-0007,Delight P1 RLVD,,23.037754,72.558988,"Delight P1 RLVD, Ahmedabad, Gujarat",Ahmedabad,ip,static,anpr_viable,h264,25,960x576,Bosch,Hikvision iVMS-4200,30,cloud,onvif
GJ-AHM-0008,Nehrunagar Circle,,23.011164,72.533987,"Nehrunagar Circle, Ahmedabad, Gujarat",Ahmedabad,ip,static,detection_only,h265,20,854x480,Hikvision,Milestone XProtect,30,cloud,onvif
GJ-AHM-0009,Shivranjani Crossroads,,23.014161,72.524623,"Shivranjani Crossroads, Ahmedabad, Gujarat",Ahmedabad,ip,static,unclassified,h265,25,1280x960,Honeywell,Hikvision iVMS-4200,30,cloud,hls
GJ-AHM-0010,Iskcon Crossroads,,23.022012,72.507349,"Iskcon Crossroads, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,anpr_viable,h264,25,1920x1080,Bosch,CP Plus Orange,15,local,hls
GJ-AHM-0011,Vastrapur Lake,,23.036445,72.528283,"Vastrapur Lake, Ahmedabad, Gujarat",Ahmedabad,analog,static,detection_only,h264,30,960x576,Bosch,Genetec Security Center,15,local,hls
GJ-AHM-0012,Gurukul Road,,23.046726,72.538985,"Gurukul Road, Ahmedabad, Gujarat",Ahmedabad,ip,static,unclassified,h264,12,854x480,Hikvision,Milestone XProtect,90,cloud,hls
GJ-AHM-0013,Sabarmati Riverfront N,,23.063092,72.582419,"Sabarmati Riverfront N, Ahmedabad, Gujarat",Ahmedabad,ip,static,anpr_viable,h265,10,854x480,CP Plus,CP Plus Orange,15,cloud,hls
